stage,teams,count,probability,rank
QF,Argentina|Brazil|England|France|Germany|Italy|Netherlands|Spain,802,0.00401000,1
QF,Argentina|Brazil|England|France|Germany|Italy|Netherlands|Portugal,506,0.00253000,2
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|Spain|Uruguay,450,0.00225000,3
QF,Argentina|Brazil|Cameroon|England|France|Germany|Netherlands|Spain,369,0.00184500,4
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|Nigeria|Spain,364,0.00182000,5
QF,Argentina|Brazil|England|France|Germany|Italy|Paraguay|Spain,362,0.00181000,6
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|South Korea|Spain,358,0.00179000,7
QF,Argentina|Brazil|Denmark|England|France|Germany|Netherlands|Spain,349,0.00174500,8
QF,Argentina|England|France|Germany|Italy|Netherlands|Portugal|Spain,344,0.00172000,9
QF,Argentina|Brazil|England|France|Germany|Netherlands|Paraguay|Spain,338,0.00169000,10
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Netherlands|Spain,331,0.00165500,11
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|Portugal|Uruguay,316,0.00158000,12
QF,Argentina|Brazil|England|France|Italy|Netherlands|Spain|United States,285,0.00142500,13
QF,Argentina|Brazil|France|Germany|Italy|Netherlands|Serbia|Spain,279,0.00139500,14
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|South Africa|Spain,273,0.00136500,15
QF,Brazil|England|France|Germany|Italy|Netherlands|Spain|Uruguay,265,0.00132500,16
QF,Argentina|Chile|England|France|Germany|Italy|Netherlands|Spain,252,0.00126000,17
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|Nigeria|Portugal,238,0.00119000,18
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Netherlands|Portugal,231,0.00115500,19
QF,Argentina|Brazil|England|Germany|Italy|Netherlands|Portugal|South Korea,230,0.00115000,20
QF,Argentina|Brazil|Cameroon|England|France|Germany|Netherlands|Portugal,229,0.00114500,21
QF,Argentina|Brazil|England|France|Germany|Italy|Paraguay|Portugal,229,0.00114500,22
QF,Argentina|Brazil|England|France|Germany|Italy|Ivory Coast|Netherlands,213,0.00106500,23
QF,Argentina|Brazil|Denmark|England|France|Germany|Netherlands|Portugal,212,0.00106000,24
QF,Argentina|Brazil|England|France|Italy|Netherlands|Serbia|Spain,211,0.00105500,25
QF,Argentina|Brazil|Denmark|England|Germany|Netherlands|Spain|Uruguay,211,0.00105500,26
QF,Argentina|Brazil|England|Germany|Italy|Paraguay|Spain|Uruguay,210,0.00105000,27
QF,Argentina|Brazil|England|Germany|Greece|Italy|Netherlands|Spain,208,0.00104000,28
QF,Argentina|Brazil|Cameroon|England|Germany|Netherlands|Spain|Uruguay,203,0.00101500,29
