team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Algeria,0.148090,0.031925,0.006565,0.001120,0.000195,0.187895,0.039805,0.007880,0.001315,0.000195
Argentina,0.254210,0.227590,0.183605,0.102835,0.136915,0.905155,0.650945,0.423355,0.239750,0.136915
Australia,0.170505,0.046450,0.014795,0.002960,0.000690,0.235400,0.064895,0.018445,0.003650,0.000690
Brazil,0.253400,0.151550,0.153655,0.111930,0.174525,0.845060,0.591660,0.440110,0.286455,0.174525
Cameroon,0.238720,0.153090,0.034575,0.010555,0.003200,0.440140,0.201420,0.048330,0.013755,0.003200
Chile,0.414910,0.091970,0.044995,0.016620,0.006245,0.574740,0.159830,0.067860,0.022865,0.006245
Denmark,0.234725,0.148110,0.032365,0.009750,0.002865,0.427815,0.193090,0.044980,0.012615,0.002865
England,0.271835,0.209305,0.194810,0.116110,0.135015,0.927075,0.655240,0.445935,0.251125,0.135015
France,0.283425,0.195655,0.104585,0.046855,0.032385,0.662905,0.379480,0.183825,0.079240,0.032385
Germany,0.270105,0.257260,0.159700,0.091975,0.100010,0.879050,0.608945,0.351685,0.191985,0.100010
Ghana,0.215025,0.064870,0.022540,0.005310,0.001450,0.309195,0.094170,0.029300,0.006760,0.001450
Greece,0.205815,0.068115,0.018920,0.004175,0.001065,0.298090,0.092275,0.024160,0.005240,0.001065
Honduras,0.088240,0.007745,0.001555,0.000205,0.000030,0.097775,0.009535,0.001790,0.000235,0.000030
Italy,0.380525,0.316600,0.098220,0.043455,0.025105,0.863905,0.483380,0.166780,0.068560,0.025105
Ivory Coast,0.248985,0.088300,0.059645,0.027940,0.016765,0.441635,0.192650,0.104350,0.044705,0.016765
Japan,0.162045,0.075615,0.012680,0.002950,0.000680,0.253970,0.091925,0.016310,0.003630,0.000680
Mexico,0.253780,0.120195,0.051080,0.018205,0.007630,0.450890,0.197110,0.076915,0.025835,0.007630
Netherlands,0.229525,0.339630,0.137505,0.089760,0.081655,0.878075,0.648550,0.308920,0.171415,0.081655
New Zealand,0.059705,0.006665,0.000420,0.000050,0.000005,0.066845,0.007140,0.000475,0.000055,0.000005
Nigeria,0.253905,0.097810,0.031355,0.007865,0.002320,0.393255,0.139350,0.041540,0.010185,0.002320
North Korea,0.035385,0.004575,0.001100,0.000120,0.000000,0.041180,0.005795,0.001220,0.000120,0.000000
Paraguay,0.408805,0.198355,0.045140,0.014425,0.004750,0.671475,0.262670,0.064315,0.019175,0.004750
Portugal,0.307000,0.134910,0.109475,0.065055,0.055685,0.672125,0.365125,0.230215,0.120740,0.055685
Serbia,0.334515,0.140840,0.067750,0.023855,0.009395,0.576355,0.241840,0.101000,0.033250,0.009395
Slovakia,0.285950,0.091650,0.015830,0.003615,0.000730,0.397775,0.111825,0.020175,0.004345,0.000730
Slovenia,0.246420,0.072440,0.020640,0.004600,0.001185,0.345285,0.098865,0.026425,0.005785,0.001185
South Africa,0.228855,0.106535,0.042735,0.013850,0.005595,0.397570,0.168715,0.062180,0.019445,0.005595
South Korea,0.268660,0.095795,0.028985,0.007740,0.002320,0.403500,0.134840,0.039045,0.010060,0.002320
Spain,0.354940,0.139935,0.171015,0.112425,0.173875,0.952190,0.597250,0.457315,0.286300,0.173875
Switzerland,0.297140,0.051300,0.019575,0.005815,0.001465,0.375295,0.078155,0.026855,0.007280,0.001465
United States,0.343505,0.129160,0.048630,0.013970,0.004480,0.539745,0.196240,0.067080,0.018450,0.004480
Uruguay,0.251350,0.136055,0.065555,0.023905,0.011770,0.488635,0.237285,0.101230,0.035675,0.011770
