stage,teams,count,probability,rank
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Netherlands|Spain,215,0.00107500,1
QF,Argentina|Brazil|Germany|Italy|Mexico|Netherlands|Serbia|Spain,212,0.00106000,2
QF,Brazil|England|France|Germany|Italy|Mexico|Netherlands|Spain,203,0.00101500,3
QF,Argentina|Brazil|England|France|Germany|Italy|Netherlands|Spain,203,0.00101500,4
QF,Argentina|Brazil|France|Germany|Italy|Netherlands|Serbia|Spain,187,0.00093500,5
QF,Argentina|Brazil|England|France|Germany|Italy|Slovakia|Spain,184,0.00092000,6
QF,Brazil|France|Germany|Italy|Mexico|Serbia|Slovakia|Spain,184,0.00092000,7
QF,Brazil|France|Germany|Italy|Mexico|Netherlands|Serbia|Spain,179,0.00089500,8
QF,Argentina|Brazil|France|Germany|Italy|Serbia|Slovakia|Spain,179,0.00089500,9
QF,Brazil|England|France|Germany|Italy|Mexico|Netherlands|Portugal,175,0.00087500,10
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Netherlands|Portugal,173,0.00086500,11
QF,Brazil|France|Germany|Italy|Mexico|Netherlands|Portugal|Serbia,173,0.00086500,12
QF,Argentina|Brazil|England|France|Italy|Netherlands|Serbia|Spain,161,0.00080500,13
QF,Brazil|England|France|Germany|Italy|Mexico|Slovakia|Spain,159,0.00079500,14
QF,Argentina|Brazil|Germany|Italy|Mexico|Netherlands|Portugal|Serbia,154,0.00077000,15
QF,Argentina|Brazil|England|France|Germany|Italy|Netherlands|Portugal,154,0.00077000,16
QF,Argentina|Brazil|France|Germany|Italy|Netherlands|Portugal|Serbia,153,0.00076500,17
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Slovakia|Spain,152,0.00076000,18
QF,Argentina|Brazil|England|Germany|Greece|Italy|Netherlands|Spain,150,0.00075000,19
QF,Brazil|England|France|Italy|Mexico|Netherlands|Slovenia|Spain,149,0.00074500,20
QF,Argentina|Brazil|Germany|Italy|Mexico|Serbia|Slovakia|Spain,146,0.00073000,21
QF,Argentina|Brazil|England|France|Italy|Netherlands|Slovenia|Spain,144,0.00072000,22
QF,Argentina|Brazil|England|Italy|Mexico|Netherlands|Slovenia|Spain,143,0.00071500,23
QF,Brazil|England|France|Germany|Italy|Mexico|Portugal|Slovakia,143,0.00071500,24
QF,Argentina|Brazil|England|France|Germany|Italy|Portugal|Slovakia,141,0.00070500,25
QF,Brazil|England|France|Italy|Mexico|Netherlands|Portugal|Serbia,140,0.00070000,26
QF,Argentina|Brazil|England|Italy|Mexico|Netherlands|Serbia|Spain,138,0.00069000,27
QF,Brazil|France|Germany|Italy|Mexico|Portugal|Serbia|Slovakia,134,0.00067000,28
QF,Argentina|Brazil|Germany|Greece|Italy|Netherlands|Serbia|Spain,134,0.00067000,29
QF,Argentina|Brazil|England|Italy|Mexico|Serbia|Slovakia|Spain,132,0.00066000,30
QF,Argentina|Brazil|France|Germany|Italy|Portugal|Serbia|Slovakia,131,0.00065500,31
QF,Argentina|Brazil|Germany|Italy|Mexico|Portugal|Serbia|Slovakia,129,0.00064500,32
QF,Brazil|England|France|Italy|Mexico|Netherlands|Serbia|Spain,129,0.00064500,33
QF,Argentina|Brazil|Cameroon|England|France|Germany|Netherlands|Spain,128,0.00064000,34
QF,Brazil|England|France|Italy|Mexico|Slovakia|Slovenia|Spain,127,0.00063500,35
QF,Argentina|Brazil|England|Germany|Italy|Mexico|Portugal|Slovakia,126,0.00063000,36
QF,Argentina|Brazil|England|France|Italy|Netherlands|Portugal|Slovenia,126,0.00063000,37
QF,Argentina|Brazil|England|France|Italy|Serbia|Slovakia|Spain,124,0.00062000,38
QF,Brazil|Cameroon|England|France|Germany|Mexico|Netherlands|Spain,120,0.00060000,39
QF,Argentina|Brazil|England|Italy|Mexico|Slovakia|Slovenia|Spain,118,0.00059000,40
QF,Argentina|Brazil|England|Italy|Mexico|Netherlands|Portugal|Serbia,116,0.00058000,41
QF,Argentina|Brazil|England|France|Italy|Slovakia|Slovenia|Spain,116,0.00058000,42
QF,Argentina|Brazil|England|France|Italy|Netherlands|Portugal|Serbia,115,0.00057500,43
QF,Argentina|Brazil|Cameroon|France|Germany|Netherlands|Serbia|Spain,115,0.00057500,44
