team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Algeria,0.216915,0.068515,0.022445,0.005695,0.001495,0.315065,0.098150,0.029635,0.007190,0.001495
Argentina,0.311450,0.206820,0.152810,0.079680,0.085275,0.836035,0.524585,0.317765,0.164955,0.085275
Australia,0.164205,0.055300,0.019070,0.004500,0.001500,0.244575,0.080370,0.025070,0.006000,0.001500
Brazil,0.244615,0.177455,0.134055,0.107510,0.223135,0.886770,0.642155,0.464700,0.330645,0.223135
Cameroon,0.290690,0.165200,0.049350,0.021665,0.011695,0.538600,0.247910,0.082710,0.033360,0.011695
Chile,0.398585,0.119470,0.059030,0.031740,0.018725,0.627550,0.228965,0.109495,0.050465,0.018725
Denmark,0.182905,0.067105,0.015675,0.004580,0.001565,0.271830,0.088925,0.021820,0.006145,0.001565
England,0.313560,0.203725,0.164395,0.081305,0.093225,0.856210,0.542650,0.338925,0.174530,0.093225
France,0.303870,0.192110,0.114980,0.049420,0.041090,0.701470,0.397600,0.205490,0.090510,0.041090
Germany,0.303970,0.205850,0.138820,0.065890,0.059935,0.774465,0.470495,0.264645,0.125825,0.059935
Ghana,0.180945,0.063960,0.021270,0.005630,0.001740,0.273545,0.092600,0.028640,0.007370,0.001740
Greece,0.275490,0.117455,0.050615,0.015580,0.006990,0.466130,0.190640,0.073185,0.022570,0.006990
Honduras,0.180355,0.034325,0.010700,0.002750,0.000895,0.229025,0.048670,0.014345,0.003645,0.000895
Italy,0.310425,0.269090,0.111495,0.071185,0.068710,0.830905,0.520480,0.251390,0.139895,0.068710
Ivory Coast,0.235390,0.078550,0.033405,0.013580,0.005660,0.366585,0.131195,0.052645,0.019240,0.005660
Japan,0.238040,0.106450,0.025785,0.009750,0.003960,0.383985,0.145945,0.039495,0.013710,0.003960
Mexico,0.297320,0.183865,0.116205,0.048085,0.037540,0.683015,0.385695,0.201830,0.085625,0.037540
Netherlands,0.294050,0.264295,0.107100,0.068915,0.071225,0.805585,0.511535,0.247240,0.140140,0.071225
New Zealand,0.128195,0.032245,0.005405,0.001480,0.000280,0.167605,0.039410,0.007165,0.001760,0.000280
Nigeria,0.217925,0.081630,0.030120,0.007485,0.002780,0.339940,0.122015,0.040385,0.010265,0.002780
North Korea,0.045865,0.007190,0.001140,0.000160,0.000035,0.054390,0.008525,0.001335,0.000195,0.000035
Paraguay,0.221055,0.085515,0.019710,0.006095,0.001990,0.334365,0.113310,0.027795,0.008085,0.001990
Portugal,0.333365,0.162590,0.092965,0.058510,0.044825,0.692255,0.358890,0.196300,0.103335,0.044825
Serbia,0.311360,0.186640,0.118785,0.051655,0.038975,0.707415,0.396055,0.209415,0.090630,0.038975
Slovakia,0.334640,0.214330,0.065300,0.033080,0.019775,0.667125,0.332485,0.118155,0.052855,0.019775
Slovenia,0.312020,0.138140,0.067525,0.022230,0.010620,0.550535,0.238515,0.100375,0.032850,0.010620
South Africa,0.097785,0.022515,0.005250,0.000995,0.000175,0.126720,0.028935,0.006420,0.001170,0.000175
South Korea,0.226490,0.086640,0.032190,0.009005,0.003570,0.357895,0.131405,0.044765,0.012575,0.003570
Spain,0.360800,0.173430,0.122250,0.093770,0.130245,0.880495,0.519695,0.346265,0.224015,0.130245
Switzerland,0.201025,0.042760,0.013645,0.004095,0.001405,0.262930,0.061905,0.019145,0.005500,0.001405
United States,0.197025,0.058345,0.017810,0.003960,0.001050,0.278190,0.081165,0.022820,0.005010,0.001050
Uruguay,0.269670,0.128490,0.060700,0.020020,0.009915,0.488795,0.219125,0.090635,0.029935,0.009915
