stage,teams,count,probability,rank
QF,Argentina|Brazil|England|France|Germany|Italy|Portugal|Spain,579,0.00289500,1
QF,Argentina|Brazil|Colombia|England|France|Germany|Portugal|Spain,536,0.00268000,2
QF,Argentina|Brazil|England|France|Germany|Portugal|Spain|Uruguay,505,0.00252500,3
QF,Argentina|Belgium|Brazil|England|France|Germany|Italy|Spain,427,0.00213500,4
QF,Argentina|Brazil|Colombia|France|Germany|Italy|Portugal|Spain,404,0.00202000,5
QF,Argentina|Belgium|Brazil|Colombia|England|France|Germany|Spain,400,0.00200000,6
QF,Argentina|Brazil|Colombia|France|Germany|Ivory Coast|Portugal|Spain,383,0.00191500,7
QF,Argentina|Brazil|Colombia|France|Germany|Portugal|Spain|Uruguay,359,0.00179500,8
QF,Argentina|Brazil|France|Germany|Italy|Portugal|Spain|Uruguay,338,0.00169000,9
QF,Argentina|Brazil|Colombia|France|Germany|Japan|Portugal|Spain,303,0.00151500,10
QF,Argentina|Belgium|Brazil|England|France|Germany|Spain|Uruguay,298,0.00149000,11
QF,Argentina|England|France|Germany|Italy|Netherlands|Portugal|Spain,292,0.00146000,12
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Italy|Spain,265,0.00132500,13
QF,Argentina|Colombia|England|France|Germany|Netherlands|Portugal|Spain,253,0.00126500,14
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Ivory Coast|Spain,250,0.00125000,15
QF,Argentina|England|France|Germany|Netherlands|Portugal|Spain|Uruguay,240,0.00120000,16
QF,Argentina|Brazil|England|France|Germany|Japan|Portugal|Spain,237,0.00118500,17
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Spain|Uruguay,228,0.00114000,18
QF,Argentina|Brazil|England|France|Germany|Italy|Netherlands|Portugal,217,0.00108500,19
QF,Brazil|England|France|Germany|Italy|Portugal|Spain|Switzerland,213,0.00106500,20
QF,Argentina|Belgium|Brazil|France|Germany|Italy|Spain|Uruguay,212,0.00106000,21
QF,Argentina|Belgium|England|France|Germany|Italy|Netherlands|Spain,211,0.00105500,22
QF,Argentina|Brazil|England|France|Germany|Ivory Coast|Portugal|Spain,207,0.00103500,23
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Japan|Spain,205,0.00102500,24
QF,Argentina|Brazil|England|France|Germany|Italy|Russia|Spain,201,0.00100500,25
