team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Algeria,0.194660,0.037895,0.010400,0.001730,0.000395,0.245080,0.050420,0.012525,0.002125,0.000395
Argentina,0.285290,0.249855,0.187040,0.114025,0.123030,0.959240,0.673950,0.424095,0.237055,0.123030
Australia,0.051275,0.007775,0.001835,0.000410,0.000100,0.061395,0.010120,0.002345,0.000510,0.000100
Belgium,0.434465,0.203085,0.100170,0.044155,0.027055,0.808930,0.374465,0.171380,0.071210,0.027055
Bosnia and Herzegovina,0.366195,0.098175,0.025230,0.004830,0.001035,0.495465,0.129270,0.031095,0.005865,0.001035
Brazil,0.336705,0.155140,0.158770,0.112400,0.199845,0.962860,0.626155,0.471015,0.312245,0.199845
Cameroon,0.125275,0.015560,0.003700,0.000650,0.000115,0.145300,0.020025,0.004465,0.000765,0.000115
Chile,0.303590,0.101175,0.063590,0.031445,0.018500,0.518300,0.214710,0.113535,0.049945,0.018500
Colombia,0.317245,0.244155,0.084565,0.042785,0.030260,0.719010,0.401765,0.157610,0.073045,0.030260
Costa Rica,0.094425,0.037290,0.006420,0.001420,0.000380,0.139935,0.045510,0.008220,0.001800,0.000380
Croatia,0.349510,0.074870,0.032105,0.011330,0.003440,0.471255,0.121745,0.046875,0.014770,0.003440
Ecuador,0.268375,0.119745,0.043370,0.012705,0.004055,0.448250,0.179875,0.060130,0.016760,0.004055
England,0.267190,0.246355,0.092870,0.047785,0.035065,0.689265,0.422075,0.175720,0.082850,0.035065
France,0.241995,0.248760,0.184340,0.090495,0.097095,0.862685,0.620690,0.371930,0.187590,0.097095
Germany,0.204820,0.234590,0.172405,0.100545,0.135945,0.848305,0.643485,0.408895,0.236490,0.135945
Ghana,0.147180,0.078200,0.028060,0.008390,0.002805,0.264635,0.117455,0.039255,0.011195,0.002805
Greece,0.210065,0.071665,0.015440,0.004045,0.001160,0.302375,0.092310,0.020645,0.005205,0.001160
Honduras,0.074910,0.015160,0.002335,0.000335,0.000050,0.092790,0.017880,0.002720,0.000385,0.000050
Iran,0.160395,0.026095,0.003565,0.000480,0.000055,0.190590,0.030195,0.004100,0.000535,0.000055
Italy,0.261800,0.214520,0.074015,0.035490,0.021185,0.607010,0.345210,0.130690,0.056675,0.021185
Ivory Coast,0.295600,0.147225,0.040665,0.015565,0.006575,0.505630,0.210030,0.062805,0.022140,0.006575
Japan,0.283620,0.135635,0.035905,0.012765,0.005060,0.472985,0.189365,0.053730,0.017825,0.005060
Mexico,0.304300,0.071450,0.031145,0.010265,0.003425,0.420585,0.116285,0.044835,0.013690,0.003425
Netherlands,0.277900,0.122625,0.086740,0.049110,0.038170,0.574545,0.296645,0.174020,0.087280,0.038170
Nigeria,0.271545,0.065040,0.014990,0.002620,0.000510,0.354705,0.083160,0.018120,0.003130,0.000510
Portugal,0.231855,0.204345,0.119665,0.055820,0.041785,0.653470,0.421615,0.217270,0.097605,0.041785
Russia,0.406615,0.133885,0.056225,0.018295,0.007490,0.622510,0.215895,0.082010,0.025785,0.007490
South Korea,0.248975,0.054070,0.016245,0.003335,0.000855,0.323480,0.074505,0.020435,0.004190,0.000855
Spain,0.251445,0.161355,0.154055,0.110340,0.168565,0.845760,0.594315,0.432960,0.278905,0.168565
Switzerland,0.331295,0.161940,0.070525,0.022685,0.009830,0.596275,0.264980,0.103040,0.032515,0.009830
United States,0.131430,0.069160,0.023715,0.006985,0.002300,0.233590,0.102160,0.033000,0.009285,0.002300
Uruguay,0.270055,0.193205,0.059900,0.026765,0.013865,0.563790,0.293735,0.100530,0.040630,0.013865
