stage,teams,count,probability,rank
QF,Argentina|Belgium|Brazil|England|France|Germany|Spain|Uruguay,205,0.00102500,1
QF,Argentina|Belgium|Brazil|England|France|Russia|Spain|Uruguay,200,0.00100000,2
QF,Argentina|Belgium|Chile|England|France|Russia|Spain|Uruguay,157,0.00078500,3
QF,Argentina|Belgium|Brazil|France|Italy|Russia|Spain|Uruguay,147,0.00073500,4
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Spain|Uruguay,137,0.00068500,5
QF,Argentina|Belgium|Chile|England|France|Germany|Spain|Uruguay,135,0.00067500,6
QF,Argentina|Belgium|Brazil|England|France|Mexico|Russia|Uruguay,134,0.00067000,7
QF,Argentina|Brazil|England|France|Germany|Russia|Spain|Uruguay,133,0.00066500,8
QF,Argentina|Belgium|Brazil|Colombia|France|Russia|Spain|Uruguay,131,0.00065500,9
QF,Argentina|Belgium|Brazil|England|France|Germany|Mexico|Uruguay,122,0.00061000,10
QF,Argentina|Belgium|Brazil|Chile|England|France|Russia|Uruguay,118,0.00059000,11
QF,Argentina|Belgium|Brazil|France|Germany|Italy|Spain|Uruguay,117,0.00058500,12
QF,Argentina|Belgium|Brazil|Chile|England|France|Germany|Uruguay,113,0.00056500,13
QF,Belgium|Brazil|England|France|Russia|Spain|Switzerland|Uruguay,112,0.00056000,14
QF,Argentina|Belgium|Brazil|England|France|Germany|Italy|Spain,111,0.00055500,15
QF,Argentina|Belgium|Brazil|England|France|Italy|Russia|Spain,109,0.00054500,16
QF,Argentina|Belgium|Brazil|Colombia|France|Ivory Coast|Russia|Spain,108,0.00054000,17
QF,Argentina|Belgium|Brazil|Colombia|England|France|Russia|Spain,107,0.00053500,18
QF,Argentina|Belgium|Chile|France|Germany|Italy|Spain|Uruguay,99,0.00049500,19
QF,Argentina|Belgium|Brazil|England|Nigeria|Russia|Spain|Uruguay,99,0.00049500,20
QF,Argentina|Brazil|England|France|Germany|Portugal|Spain|Uruguay,97,0.00048500,21
QF,Argentina|Belgium|Chile|Colombia|France|Russia|Spain|Uruguay,95,0.00047500,22
QF,Argentina|Belgium|Brazil|France|Italy|Mexico|Russia|Uruguay,94,0.00047000,23
QF,Argentina|Belgium|Chile|France|Italy|Russia|Spain|Uruguay,93,0.00046500,24
QF,Argentina|Belgium|Brazil|Colombia|England|France|Germany|Spain,91,0.00045500,25
QF,Argentina|Belgium|Brazil|France|Ivory Coast|Russia|Spain|Uruguay,88,0.00044000,26
QF,Argentina|Belgium|Chile|England|France|Italy|Russia|Spain,86,0.00043000,27
QF,Argentina|Belgium|Brazil|England|Russia|Spain|Switzerland|Uruguay,85,0.00042500,28
QF,Belgium|Brazil|England|France|Germany|Spain|Switzerland|Uruguay,85,0.00042500,29
QF,Belgium|Chile|England|France|Russia|Spain|Switzerland|Uruguay,85,0.00042500,30
QF,Argentina|Belgium|Chile|Colombia|France|Germany|Spain|Uruguay,84,0.00042000,31
QF,Belgium|Brazil|England|France|Mexico|Russia|Switzerland|Uruguay,84,0.00042000,32
QF,Argentina|Belgium|Chile|England|France|Germany|Italy|Spain,83,0.00041500,33
QF,Belgium|Chile|England|France|Germany|Spain|Switzerland|Uruguay,82,0.00041000,34
QF,Argentina|Brazil|England|France|Germany|Mexico|Russia|Uruguay,81,0.00040500,35
QF,Argentina|Belgium|Brazil|France|Germany|Italy|Mexico|Uruguay,81,0.00040500,36
QF,Argentina|Brazil|England|France|Germany|Spain|United States|Uruguay,80,0.00040000,37
QF,Argentina|Brazil|Colombia|France|Germany|Russia|Spain|Uruguay,78,0.00039000,38
QF,Argentina|Chile|England|France|Germany|Portugal|Spain|Uruguay,78,0.00039000,39
QF,Argentina|Belgium|Brazil|England|Germany|Nigeria|Spain|Uruguay,78,0.00039000,40
QF,Argentina|Brazil|Chile|England|France|Germany|Russia|Uruguay,78,0.00039000,41
QF,Argentina|Belgium|Brazil|England|France|Italy|Mexico|Russia,77,0.00038500,42
QF,Argentina|Belgium|Brazil|Colombia|France|Mexico|Russia|Uruguay,76,0.00038000,43
QF,Argentina|Belgium|Chile|Colombia|England|France|Russia|Spain,75,0.00037500,44
QF,Belgium|Brazil|France|Italy|Russia|Spain|Switzerland|Uruguay,75,0.00037500,45
QF,Argentina|Belgium|Brazil|England|France|Ivory Coast|Russia|Spain,74,0.00037000,46
QF,Argentina|Belgium|Brazil|France|Germany|Ivory Coast|Spain|Uruguay,74,0.00037000,47
QF,Argentina|Belgium|Brazil|Germany|Italy|Nigeria|Spain|Uruguay,73,0.00036500,48
QF,Argentina|Belgium|Brazil|Chile|France|Germany|Italy|Uruguay,73,0.00036500,49
QF,Belgium|Chile|France|Italy|Russia|Spain|Switzerland|Uruguay,73,0.00036500,50
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Ivory Coast|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,122,0.00061000,1
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Ivory Coast|Mexico|Nigeria|Russia|Spain|Switzerland|United States|Uruguay,120,0.00060000,2
R16,Argentina|Belgium|Brazil|Chile|Colombia|France|Germany|Italy|Ivory Coast|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,116,0.00058000,3
R16,Argentina|Belgium|Brazil|Chile|Colombia|Ecuador|England|France|Germany|Ivory Coast|Mexico|Nigeria|Portugal|Russia|Spain|Uruguay,111,0.00055500,4
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Japan|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,104,0.00052000,5
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Japan|Mexico|Nigeria|Russia|Spain|Switzerland|United States|Uruguay,99,0.00049500,6
R16,Argentina|Belgium|Brazil|Chile|Colombia|France|Germany|Italy|Japan|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,87,0.00043500,7
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Chile|Colombia|England|France|Germany|Ivory Coast|Mexico|Portugal|Russia|Spain|Switzerland|Uruguay,87,0.00043500,8
R16,Argentina|Belgium|Brazil|Cameroon|Chile|Colombia|England|France|Germany|Ivory Coast|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,87,0.00043500,9
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Italy|Ivory Coast|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland,85,0.00042500,10
R16,Argentina|Belgium|Brazil|Chile|Colombia|England|France|Germany|Greece|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,84,0.00042000,11
R16,Argentina|Belgium|Brazil|Cameroon|Chile|Colombia|England|France|Germany|Ivory Coast|Nigeria|Russia|Spain|Switzerland|United States|Uruguay,83,0.00041500,12
R16,Argentina|Belgium|Brazil|Chile|England|France|Germany|Ivory Coast|Japan|Mexico|Nigeria|Portugal|Russia|Spain|Switzerland|Uruguay,79,0.00039500,13
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Chile|Colombia|England|France|Germany|Ivory Coast|Mexico|Russia|Spain|Switzerland|United States|Uruguay,79,0.00039500,14
R16,Argentina|Belgium|Brazil|Chile|Colombia|Ecuador|England|France|Germany|Ivory Coast|Mexico|Nigeria|Russia|Spain|United States|Uruguay,78,0.00039000,15
R16,Argentina|Belgium|Brazil|Cameroon|Chile|Colombia|England|France|Germany|Japan|Nigeria|Russia|Spain|Switzerland|United States|Uruguay,76,0.00038000,16
