team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Algeria,0.173195,0.052640,0.015645,0.004325,0.001185,0.246990,0.073795,0.021155,0.005510,0.001185
Argentina,0.290380,0.226295,0.141970,0.090875,0.120850,0.870370,0.579990,0.353695,0.211725,0.120850
Australia,0.089860,0.018360,0.003935,0.000780,0.000125,0.113060,0.023200,0.004840,0.000905,0.000125
Belgium,0.310300,0.213155,0.128780,0.077190,0.092890,0.822315,0.512015,0.298860,0.170080,0.092890
Bosnia and Herzegovina,0.237275,0.084520,0.029670,0.009210,0.003860,0.364535,0.127260,0.042740,0.013070,0.003860
Brazil,0.282410,0.174830,0.146020,0.092505,0.162145,0.857910,0.575500,0.400670,0.254650,0.162145
Cameroon,0.220845,0.069960,0.027735,0.009325,0.003810,0.331675,0.110830,0.040870,0.013135,0.003810
Chile,0.346920,0.151410,0.095660,0.049520,0.041100,0.684610,0.337690,0.186280,0.090620,0.041100
Colombia,0.337010,0.188150,0.078750,0.037350,0.028225,0.669485,0.332475,0.144325,0.065575,0.028225
Costa Rica,0.079500,0.022030,0.004320,0.000800,0.000195,0.106845,0.027345,0.005315,0.000995,0.000195
Croatia,0.203535,0.063345,0.023765,0.007430,0.002960,0.301035,0.097500,0.034155,0.010390,0.002960
Ecuador,0.266715,0.108695,0.039460,0.014230,0.005960,0.435060,0.168345,0.059650,0.020190,0.005960
England,0.264755,0.197325,0.095010,0.048050,0.040645,0.645785,0.381030,0.183705,0.088695,0.040645
France,0.295885,0.224910,0.139880,0.080925,0.097700,0.839300,0.543415,0.318505,0.178625,0.097700
Germany,0.305185,0.194860,0.119745,0.068770,0.082730,0.771290,0.466105,0.271245,0.151500,0.082730
Ghana,0.204360,0.073670,0.024615,0.008200,0.003335,0.314180,0.109820,0.036150,0.011535,0.003335
Greece,0.222645,0.082580,0.025810,0.008615,0.003535,0.343185,0.120540,0.037960,0.012150,0.003535
Honduras,0.097790,0.021690,0.004665,0.000865,0.000200,0.125210,0.027420,0.005730,0.001065,0.000200
Iran,0.178045,0.050230,0.013775,0.003410,0.000855,0.246315,0.068270,0.018040,0.004265,0.000855
Italy,0.251845,0.164265,0.068765,0.030375,0.022090,0.537340,0.285495,0.121230,0.052465,0.022090
Ivory Coast,0.310350,0.141245,0.052840,0.020920,0.011840,0.537195,0.226845,0.085600,0.032760,0.011840
Japan,0.271870,0.116165,0.040275,0.014700,0.007125,0.450135,0.178265,0.062100,0.021825,0.007125
Mexico,0.274625,0.120550,0.065740,0.029365,0.019100,0.509380,0.234755,0.114205,0.048465,0.019100
Netherlands,0.253110,0.091990,0.042095,0.015880,0.008395,0.411470,0.158360,0.066370,0.024275,0.008395
Nigeria,0.309735,0.128380,0.051570,0.019510,0.009585,0.518780,0.209045,0.080665,0.029095,0.009585
Portugal,0.267150,0.125465,0.054005,0.023175,0.014390,0.484185,0.217035,0.091570,0.037565,0.014390
Russia,0.333150,0.187050,0.098280,0.049440,0.039935,0.707855,0.374705,0.187655,0.089375,0.039935
South Korea,0.158665,0.046870,0.012830,0.003505,0.000970,0.222840,0.064175,0.017305,0.004475,0.000970
Spain,0.328695,0.177140,0.126375,0.072320,0.086330,0.790860,0.462165,0.285025,0.158650,0.086330
Switzerland,0.324175,0.154345,0.070345,0.031745,0.019820,0.600430,0.276255,0.121910,0.051565,0.019820
United States,0.247995,0.107225,0.045715,0.018755,0.010655,0.430345,0.182350,0.075125,0.029410,0.010655
Uruguay,0.262025,0.220655,0.111955,0.057935,0.057460,0.710030,0.448005,0.227350,0.115395,0.057460
