stage,teams,count,probability,rank
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Spain,2594,0.01297000,1
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Portugal|Spain,1823,0.00911500,2
QF,Argentina|Belgium|Brazil|England|France|Germany|Spain|Uruguay,1750,0.00875000,3
QF,Belgium|Brazil|Croatia|England|France|Germany|Portugal|Spain,1283,0.00641500,4
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Spain|Uruguay,1280,0.00640000,5
QF,Belgium|Brazil|Denmark|England|France|Germany|Portugal|Spain,1219,0.00609500,6
QF,Argentina|Belgium|Brazil|England|France|Germany|Russia|Spain,995,0.00497500,7
QF,Belgium|Brazil|Croatia|England|France|Germany|Spain|Uruguay,858,0.00429000,8
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Portugal|Spain,819,0.00409500,9
QF,Belgium|Brazil|Denmark|England|France|Germany|Spain|Uruguay,776,0.00388000,10
QF,Argentina|Belgium|Brazil|England|France|Germany|Russia|Uruguay,757,0.00378500,11
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Russia|Spain,723,0.00361500,12
QF,Argentina|Belgium|England|France|Germany|Mexico|Portugal|Spain,710,0.00355000,13
QF,Argentina|Brazil|Colombia|England|France|Germany|Portugal|Spain,624,0.00312000,14
QF,Argentina|Belgium|Brazil|Colombia|Croatia|Germany|Portugal|Spain,577,0.00288500,15
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Uruguay,567,0.00283500,16
QF,Argentina|Belgium|Croatia|England|Germany|Mexico|Portugal|Spain,558,0.00279000,17
QF,Argentina|Belgium|Brazil|England|France|Portugal|Spain|Switzerland,547,0.00273500,18
QF,Belgium|Brazil|England|France|Germany|Peru|Portugal|Spain,544,0.00272000,19
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Russia|Uruguay,542,0.00271000,20
QF,Argentina|Belgium|Brazil|Denmark|England|Germany|Portugal|Spain,536,0.00268000,21
QF,Argentina|Belgium|Brazil|England|France|Portugal|Serbia|Spain,531,0.00265500,22
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Spain|Uruguay,513,0.00256500,23
QF,Belgium|Brazil|Croatia|England|France|Germany|Russia|Spain,489,0.00244500,24
QF,Belgium|Brazil|Denmark|England|France|Germany|Russia|Spain,451,0.00225500,25
QF,Argentina|Belgium|England|France|Germany|Mexico|Spain|Uruguay,444,0.00222000,26
QF,Argentina|Belgium|Brazil|England|France|Germany|Morocco|Spain,435,0.00217500,27
QF,Belgium|Brazil|Colombia|Croatia|France|Germany|Portugal|Spain,415,0.00207500,28
QF,Argentina|Brazil|Colombia|Croatia|England|Germany|Portugal|Spain,411,0.00205500,29
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Portugal|Uruguay,401,0.00200500,30
QF,Argentina|Belgium|Brazil|Croatia|England|Portugal|Spain|Switzerland,399,0.00199500,31
QF,Argentina|Brazil|Colombia|England|France|Germany|Spain|Uruguay,374,0.00187000,32
QF,Belgium|Croatia|England|France|Germany|Mexico|Portugal|Spain,367,0.00183500,33
QF,Belgium|Brazil|Croatia|England|France|Germany|Russia|Uruguay,366,0.00183000,34
QF,Belgium|Brazil|England|France|Germany|Peru|Spain|Uruguay,366,0.00183000,35
QF,Argentina|Belgium|Brazil|Colombia|Croatia|Germany|Spain|Uruguay,364,0.00182000,36
QF,Argentina|Belgium|Brazil|England|France|Spain|Switzerland|Uruguay,362,0.00181000,37
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Russia,355,0.00177500,38
QF,Argentina|Belgium|Brazil|Croatia|England|Portugal|Serbia|Spain,353,0.00176500,39
QF,Argentina|Belgium|Brazil|England|France|Mexico|Portugal|Spain,350,0.00175000,40
QF,Belgium|Denmark|England|France|Germany|Mexico|Portugal|Spain,343,0.00171500,41
QF,Argentina|Belgium|Brazil|Denmark|England|Germany|Spain|Uruguay,342,0.00171000,42
QF,Belgium|Brazil|Colombia|Denmark|France|Germany|Portugal|Spain,340,0.00170000,43
QF,Belgium|Brazil|Denmark|England|France|Germany|Russia|Uruguay,335,0.00167500,44
QF,Argentina|Belgium|Brazil|England|France|Serbia|Spain|Uruguay,333,0.00166500,45
QF,Argentina|Belgium|Brazil|Colombia|France|Germany|Russia|Spain,333,0.00166500,46
QF,Argentina|Belgium|Croatia|England|Germany|Mexico|Spain|Uruguay,331,0.00165500,47
QF,Belgium|Brazil|Croatia|Denmark|England|Germany|Portugal|Spain,330,0.00165000,48
QF,Argentina|Belgium|England|France|Germany|Portugal|Spain|Sweden,327,0.00163500,49
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Morocco|Spain,311,0.00155500,50
R16,Argentina|Belgium|Brazil|Colombia|Croatia|Denmark|England|France|Germany|Mexico|Poland|Portugal|Russia|Spain|Switzerland|Uruguay,1122,0.00561000,1
