team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Argentina,0.305335,0.234775,0.169635,0.080630,0.071260,0.861635,0.556300,0.321525,0.151890,0.071260
Australia,0.166015,0.039615,0.010520,0.001700,0.000300,0.218150,0.052135,0.012520,0.002000,0.000300
Belgium,0.214775,0.367630,0.144265,0.094925,0.085920,0.907515,0.692740,0.325110,0.180845,0.085920
Brazil,0.251670,0.202035,0.145640,0.129465,0.205625,0.934435,0.682765,0.480730,0.335090,0.205625
Colombia,0.452585,0.210235,0.060135,0.024930,0.012000,0.759885,0.307300,0.097065,0.036930,0.012000
Costa Rica,0.089455,0.011815,0.002380,0.000455,0.000095,0.104200,0.014745,0.002930,0.000550,0.000095
Croatia,0.321575,0.184965,0.113205,0.042140,0.022480,0.684365,0.362790,0.177825,0.064620,0.022480
Denmark,0.359930,0.130370,0.057215,0.015815,0.005660,0.568990,0.209060,0.078690,0.021475,0.005660
Egypt,0.257005,0.046625,0.010340,0.001425,0.000240,0.315635,0.058630,0.012005,0.001665,0.000240
England,0.228300,0.353360,0.128815,0.082555,0.062805,0.855835,0.627535,0.274175,0.145360,0.062805
France,0.292145,0.211750,0.188145,0.093495,0.094140,0.879675,0.587530,0.375780,0.187635,0.094140
Germany,0.242935,0.181320,0.161130,0.126465,0.224885,0.936735,0.693800,0.512480,0.351350,0.224885
Iceland,0.164835,0.047905,0.015925,0.003120,0.000685,0.232470,0.067635,0.019730,0.003805,0.000685
Iran,0.088600,0.027260,0.005540,0.000790,0.000095,0.122285,0.033685,0.006425,0.000885,0.000095
Japan,0.292025,0.066400,0.010960,0.002755,0.000535,0.372675,0.080650,0.014250,0.003290,0.000535
Mexico,0.373430,0.109390,0.049270,0.022575,0.009490,0.564155,0.190725,0.081335,0.032065,0.009490
Morocco,0.147365,0.065080,0.017735,0.003570,0.000760,0.234510,0.087145,0.022065,0.004330,0.000760
Nigeria,0.157540,0.046200,0.014540,0.002745,0.000505,0.221530,0.063990,0.017790,0.003250,0.000505
Panama,0.046130,0.011210,0.001050,0.000110,0.000000,0.058500,0.012370,0.001160,0.000110,0.000000
Peru,0.232625,0.071075,0.023250,0.005035,0.001200,0.333185,0.100560,0.029485,0.006235,0.001200
Poland,0.360575,0.103435,0.020435,0.005830,0.001435,0.491710,0.131135,0.027700,0.007265,0.001435
Portugal,0.283025,0.239210,0.129095,0.047855,0.024570,0.723755,0.440730,0.201520,0.072425,0.024570
Russia,0.478205,0.171225,0.069285,0.018470,0.006495,0.743680,0.265475,0.094250,0.024965,0.006495
Saudi Arabia,0.071635,0.006220,0.000730,0.000050,0.000005,0.078640,0.007005,0.000785,0.000055,0.000005
Senegal,0.291755,0.068360,0.012065,0.002945,0.000605,0.375730,0.083975,0.015615,0.003550,0.000605
Serbia,0.328165,0.087220,0.036300,0.013965,0.005160,0.470810,0.142645,0.055425,0.019125,0.005160
South Korea,0.124250,0.019920,0.004710,0.001080,0.000195,0.150155,0.025905,0.005985,0.001275,0.000195
Spain,0.201425,0.256135,0.214980,0.111350,0.135560,0.919450,0.718025,0.461890,0.246910,0.135560
Sweden,0.253115,0.062620,0.022460,0.008295,0.002465,0.348955,0.095840,0.033220,0.010760,0.002465
Switzerland,0.336980,0.091325,0.040375,0.015750,0.006125,0.490555,0.153575,0.062250,0.021875,0.006125
Tunisia,0.113855,0.053725,0.008585,0.001620,0.000365,0.178150,0.064295,0.010570,0.001985,0.000365
Uruguay,0.472740,0.221590,0.111285,0.038090,0.018340,0.862045,0.389305,0.167715,0.056430,0.018340
