stage,teams,count,probability,rank
QF,Argentina|Belgium|Brazil|England|France|Germany|Russia|Uruguay,373,0.00186500,1
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Spain|Uruguay,362,0.00181000,2
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Russia|Uruguay,359,0.00179500,3
QF,Argentina|Belgium|Brazil|England|France|Germany|Spain|Uruguay,351,0.00175500,4
QF,Argentina|Belgium|Brazil|England|France|Russia|Serbia|Uruguay,255,0.00127500,5
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Spain,239,0.00119500,6
QF,Argentina|Belgium|Brazil|England|France|Serbia|Spain|Uruguay,228,0.00114000,7
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Portugal|Spain,227,0.00113500,8
QF,Belgium|Brazil|Croatia|England|France|Germany|Spain|Uruguay,212,0.00106000,9
QF,Belgium|Brazil|Croatia|England|France|Germany|Russia|Uruguay,211,0.00105500,10
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Russia|Spain,193,0.00096500,11
QF,Argentina|Belgium|Brazil|England|France|Germany|Russia|Spain,191,0.00095500,12
QF,Argentina|Belgium|Brazil|Croatia|England|Serbia|Spain|Uruguay,191,0.00095500,13
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Uruguay,191,0.00095500,14
QF,Argentina|Belgium|Brazil|Croatia|England|Russia|Serbia|Uruguay,184,0.00092000,15
QF,Argentina|Belgium|England|France|Germany|Spain|Sweden|Uruguay,184,0.00092000,16
QF,Belgium|Brazil|Denmark|England|France|Germany|Russia|Uruguay,181,0.00090500,17
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Portugal|Uruguay,174,0.00087000,18
QF,Belgium|Brazil|Denmark|England|France|Germany|Spain|Uruguay,166,0.00083000,19
QF,Argentina|Belgium|England|France|Germany|Russia|Sweden|Uruguay,156,0.00078000,20
QF,Argentina|Belgium|Croatia|England|Germany|Spain|Sweden|Uruguay,152,0.00076000,21
QF,Argentina|Belgium|Croatia|England|Germany|Russia|Sweden|Uruguay,151,0.00075500,22
QF,Belgium|Brazil|Croatia|England|France|Serbia|Spain|Uruguay,144,0.00072000,23
QF,Belgium|Brazil|Croatia|England|France|Germany|Portugal|Spain,140,0.00070000,24
QF,Argentina|Belgium|Brazil|England|France|Portugal|Serbia|Spain,140,0.00070000,25
QF,Belgium|Brazil|England|France|Germany|Peru|Spain|Uruguay,139,0.00069500,26
QF,Argentina|Belgium|Brazil|England|France|Germany|Iran|Spain,139,0.00069500,27
QF,Argentina|Brazil|Colombia|England|France|Germany|Spain|Uruguay,139,0.00069500,28
QF,Argentina|Brazil|Colombia|England|France|Germany|Russia|Uruguay,138,0.00069000,29
QF,Argentina|Belgium|Brazil|Croatia|England|Portugal|Serbia|Spain,134,0.00067000,30
QF,Argentina|Belgium|Brazil|England|France|Germany|Morocco|Uruguay,133,0.00066500,31
QF,Argentina|Belgium|Brazil|Croatia|Egypt|England|Germany|Uruguay,131,0.00065500,32
QF,Argentina|Belgium|Brazil|Croatia|England|Germany|Morocco|Spain,130,0.00065000,33
QF,Belgium|Brazil|Denmark|England|France|Serbia|Spain|Uruguay,130,0.00065000,34
QF,Argentina|Belgium|Brazil|Egypt|England|France|Germany|Uruguay,128,0.00064000,35
QF,Argentina|Belgium|Brazil|England|France|Germany|Morocco|Spain,127,0.00063500,36
QF,Argentina|Brazil|Colombia|Croatia|England|Germany|Russia|Uruguay,124,0.00062000,37
QF,Argentina|Belgium|England|France|Germany|Serbia|Spain|Uruguay,124,0.00062000,38
QF,Belgium|Brazil|England|France|Germany|Peru|Russia|Uruguay,124,0.00062000,39
