team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Argentina,0.285980,0.192300,0.148810,0.083765,0.100560,0.811415,0.525435,0.333135,0.184325,0.100560
Australia,0.161080,0.039450,0.011615,0.002830,0.000725,0.215700,0.054620,0.015170,0.003555,0.000725
Belgium,0.281340,0.221500,0.137665,0.089955,0.114820,0.845280,0.563940,0.342440,0.204775,0.114820
Brazil,0.278120,0.248455,0.131095,0.084470,0.117290,0.859430,0.581310,0.332855,0.201760,0.117290
Colombia,0.389255,0.162005,0.085705,0.049535,0.043310,0.729810,0.340555,0.178550,0.092845,0.043310
Costa Rica,0.187815,0.066275,0.017635,0.005485,0.001810,0.279020,0.091205,0.024930,0.007295,0.001810
Croatia,0.302695,0.170340,0.112215,0.052405,0.042570,0.680225,0.377530,0.207190,0.094975,0.042570
Denmark,0.313230,0.111680,0.055215,0.019525,0.009365,0.509015,0.195785,0.084105,0.028890,0.009365
Egypt,0.232940,0.086645,0.029475,0.008535,0.003120,0.360715,0.127775,0.041130,0.011655,0.003120
England,0.270075,0.225340,0.140805,0.093655,0.124875,0.854750,0.584675,0.359335,0.218530,0.124875
France,0.324725,0.192550,0.150970,0.081220,0.105355,0.854820,0.530095,0.337545,0.186575,0.105355
Germany,0.300760,0.232210,0.122100,0.077055,0.093325,0.825450,0.524690,0.292480,0.170380,0.093325
Iceland,0.141735,0.043695,0.014715,0.003380,0.001145,0.204670,0.062935,0.019240,0.004525,0.001145
Iran,0.216690,0.096920,0.034890,0.010675,0.004205,0.363380,0.146690,0.049770,0.014880,0.004205
Japan,0.157870,0.036050,0.009700,0.002645,0.000740,0.207005,0.049135,0.013085,0.003385,0.000740
Mexico,0.206035,0.068695,0.018950,0.006135,0.002070,0.301885,0.095850,0.027155,0.008205,0.002070
Morocco,0.226025,0.107720,0.041185,0.013280,0.005745,0.393955,0.167930,0.060210,0.019025,0.005745
Nigeria,0.196690,0.068795,0.026875,0.008075,0.003255,0.303690,0.107000,0.038205,0.011330,0.003255
Panama,0.091255,0.020475,0.004165,0.000925,0.000220,0.117040,0.025785,0.005310,0.001145,0.000220
Peru,0.273865,0.089910,0.039280,0.012385,0.005025,0.420465,0.146600,0.056690,0.017410,0.005025
Poland,0.367340,0.124540,0.058085,0.027395,0.017795,0.595155,0.227815,0.103275,0.045190,0.017795
Portugal,0.264610,0.144290,0.064505,0.025670,0.016100,0.515175,0.250565,0.106275,0.041770,0.016100
Russia,0.311145,0.177885,0.081295,0.031020,0.019080,0.620425,0.309280,0.131395,0.050100,0.019080
Saudi Arabia,0.151445,0.046870,0.012220,0.002725,0.000640,0.213900,0.062455,0.015585,0.003365,0.000640
Senegal,0.311115,0.096585,0.037115,0.015425,0.007790,0.468030,0.156915,0.060330,0.023215,0.007790
Serbia,0.300825,0.162720,0.059745,0.027685,0.016005,0.566980,0.266155,0.103435,0.043690,0.016005
South Korea,0.228105,0.079750,0.021985,0.007310,0.002695,0.339845,0.111740,0.031990,0.010005,0.002695
Spain,0.288750,0.204485,0.117920,0.059375,0.056960,0.727490,0.438740,0.234255,0.116335,0.056960
Sweden,0.304715,0.145970,0.049185,0.021330,0.011620,0.532820,0.228105,0.082135,0.032950,0.011620
Switzerland,0.193625,0.071480,0.020240,0.006720,0.002505,0.294570,0.100945,0.029465,0.009225,0.002505
Tunisia,0.131750,0.037950,0.009870,0.002635,0.000725,0.182930,0.051180,0.013230,0.003360,0.000725
Uruguay,0.308395,0.226465,0.134770,0.066775,0.068555,0.804960,0.496565,0.270100,0.135330,0.068555
