stage,teams,count,probability,rank
QF,Argentina|Brazil|England|France|Germany|Netherlands|Portugal|Spain,1613,0.00806500,1
QF,Brazil|Denmark|England|France|Germany|Netherlands|Portugal|Spain,1239,0.00619500,2
QF,Argentina|Brazil|England|France|Germany|Netherlands|Serbia|Spain,1040,0.00520000,3
QF,Argentina|Brazil|England|France|Germany|Netherlands|Spain|Switzerland,877,0.00438500,4
QF,Brazil|Denmark|England|France|Germany|Netherlands|Serbia|Spain,752,0.00376000,5
QF,Argentina|Brazil|Denmark|England|Germany|Netherlands|Portugal|Spain,742,0.00371000,6
QF,Argentina|Brazil|England|France|Germany|Portugal|Spain|United States,697,0.00348500,7
QF,Argentina|Brazil|England|France|Germany|Netherlands|Spain|Uruguay,685,0.00342500,8
QF,Brazil|Denmark|England|France|Germany|Netherlands|Spain|Switzerland,626,0.00313000,9
QF,Argentina|England|France|Germany|Netherlands|Portugal|Spain|Uruguay,545,0.00272500,10
QF,Brazil|Denmark|England|France|Germany|Portugal|Spain|United States,525,0.00262500,11
QF,Argentina|Belgium|Brazil|England|France|Germany|Netherlands|Portugal,504,0.00252000,12
QF,Brazil|Denmark|England|France|Germany|Netherlands|Spain|Uruguay,492,0.00246000,13
QF,Argentina|Belgium|Brazil|England|France|Netherlands|Portugal|Spain,474,0.00237000,14
QF,Argentina|Brazil|England|Germany|Mexico|Netherlands|Portugal|Spain,470,0.00235000,15
QF,Argentina|Brazil|England|France|Germany|Portugal|Spain|Wales,469,0.00234500,16
QF,Argentina|Brazil|England|France|Germany|Serbia|Spain|United States,448,0.00224000,17
QF,Argentina|Brazil|Denmark|England|Germany|Netherlands|Serbia|Spain,427,0.00213500,18
QF,Argentina|Brazil|Ecuador|France|Germany|Netherlands|Portugal|Spain,418,0.00209000,19
QF,Argentina|Brazil|Denmark|England|Germany|Netherlands|Spain|Switzerland,413,0.00206500,20
QF,Denmark|England|France|Germany|Netherlands|Portugal|Spain|Uruguay,385,0.00192500,21
QF,Belgium|Brazil|Denmark|England|France|Netherlands|Portugal|Spain,373,0.00186500,22
QF,Argentina|Brazil|France|Germany|Netherlands|Portugal|Senegal|Spain,369,0.00184500,23
QF,Argentina|Brazil|England|France|Germany|Spain|Switzerland|United States,369,0.00184500,24
QF,Argentina|Brazil|Ecuador|England|France|Germany|Portugal|Spain,352,0.00176000,25
QF,Brazil|Denmark|England|France|Germany|Portugal|Spain|Wales,351,0.00175500,26
QF,Argentina|Brazil|England|France|Germany|Portugal|Senegal|Spain,319,0.00159500,27
QF,Brazil|Denmark|Ecuador|France|Germany|Netherlands|Portugal|Spain,319,0.00159500,28
QF,Brazil|Denmark|England|France|Germany|Serbia|Spain|United States,316,0.00158000,29
QF,Belgium|Brazil|Denmark|England|France|Germany|Netherlands|Portugal,311,0.00155500,30
QF,Argentina|Brazil|England|France|Germany|Spain|United States|Uruguay,303,0.00151500,31
QF,Argentina|Belgium|Brazil|England|France|Germany|Netherlands|Serbia,300,0.00150000,32
