team,p_exit_R16,p_exit_QF,p_exit_SF,p_exit_final,p_exit_winner,p_at_least_R16,p_at_least_QF,p_at_least_SF,p_at_least_final,p_at_least_winner
Argentina,0.341760,0.198490,0.215690,0.090735,0.091625,0.938300,0.596540,0.398050,0.182360,0.091625
Australia,0.092075,0.022175,0.006405,0.000690,0.000150,0.121495,0.029420,0.007245,0.000840,0.000150
Belgium,0.423370,0.183835,0.068020,0.036795,0.022195,0.734215,0.310845,0.127010,0.058990,0.022195
Brazil,0.194015,0.192870,0.127990,0.107820,0.286560,0.909255,0.715240,0.522370,0.394380,0.286560
Cameroon,0.110215,0.033690,0.009470,0.002835,0.000810,0.157020,0.046805,0.013115,0.003645,0.000810
Canada,0.189495,0.038625,0.007200,0.002025,0.000370,0.237715,0.048220,0.009595,0.002395,0.000370
Costa Rica,0.025025,0.003615,0.000275,0.000010,0.000005,0.028930,0.003905,0.000290,0.000015,0.000005
Croatia,0.370550,0.128420,0.037145,0.016960,0.007400,0.560475,0.189925,0.061505,0.024360,0.007400
Denmark,0.339315,0.187725,0.135695,0.050075,0.027510,0.740320,0.401005,0.213280,0.077585,0.027510
Ecuador,0.324995,0.121040,0.037840,0.008180,0.002100,0.494155,0.169160,0.048120,0.010280,0.002100
England,0.241970,0.281110,0.194460,0.105820,0.093310,0.916670,0.674700,0.393590,0.199130,0.093310
France,0.256355,0.225320,0.194470,0.105740,0.102585,0.884470,0.628115,0.402795,0.208325,0.102585
Germany,0.254090,0.304030,0.124800,0.091405,0.094035,0.868360,0.614270,0.310240,0.185440,0.094035
Ghana,0.181035,0.032640,0.008125,0.002180,0.000545,0.224525,0.043490,0.010850,0.002725,0.000545
Iran,0.153685,0.049450,0.011020,0.001455,0.000320,0.215930,0.062245,0.012795,0.001775,0.000320
Japan,0.148925,0.065775,0.015280,0.004730,0.001225,0.235935,0.087010,0.021235,0.005955,0.001225
Mexico,0.387055,0.098865,0.038535,0.008090,0.002225,0.534770,0.147715,0.048850,0.010315,0.002225
Morocco,0.334575,0.097545,0.023635,0.008680,0.003160,0.467595,0.133020,0.035475,0.011840,0.003160
Netherlands,0.333980,0.284065,0.166075,0.058745,0.038970,0.881835,0.547855,0.263790,0.097715,0.038970
Poland,0.320730,0.072665,0.023755,0.004660,0.000885,0.422695,0.101965,0.029300,0.005545,0.000885
Portugal,0.383320,0.190065,0.107870,0.077865,0.074210,0.833330,0.450010,0.259945,0.152075,0.074210
Qatar,0.131820,0.025465,0.004420,0.000450,0.000070,0.162225,0.030405,0.004940,0.000520,0.000070
Saudi Arabia,0.092200,0.010430,0.001435,0.000160,0.000010,0.104235,0.012035,0.001605,0.000170,0.000010
Senegal,0.298715,0.117025,0.036520,0.007685,0.001840,0.461785,0.163070,0.046045,0.009525,0.001840
Serbia,0.250425,0.127845,0.057255,0.033125,0.017160,0.485810,0.235385,0.107540,0.050285,0.017160
South Korea,0.230370,0.048320,0.013375,0.004425,0.001455,0.297945,0.067575,0.019255,0.005880,0.001455
Spain,0.253970,0.305060,0.123900,0.090415,0.093430,0.866775,0.612805,0.307745,0.183845,0.093430
Switzerland,0.242145,0.115145,0.049930,0.026950,0.013745,0.447915,0.205770,0.090625,0.040695,0.013745
Tunisia,0.170510,0.055870,0.022310,0.004075,0.000950,0.253715,0.083205,0.027335,0.005025,0.000950
United States,0.273965,0.145215,0.050190,0.011250,0.002985,0.483605,0.209640,0.064425,0.014235,0.002985
Uruguay,0.408475,0.132520,0.056285,0.030080,0.016840,0.644200,0.235725,0.103205,0.046920,0.016840
Wales,0.240870,0.105090,0.030625,0.005890,0.001320,0.383795,0.142925,0.037835,0.007210,0.001320
