stage,teams,count,probability,rank
QF,Argentina|Belgium|Brazil|Canada|England|France|Spain|Switzerland,157,0.00031400,1
QF,Argentina|Belgium|Brazil|Canada|England|Germany|Spain|Switzerland,150,0.00030000,2
QF,Argentina|Belgium|Brazil|England|Germany|Morocco|Portugal|Spain,144,0.00028800,3
QF,Argentina|Belgium|Brazil|England|Germany|Netherlands|Portugal|Spain,142,0.00028400,4
QF,Argentina|Belgium|Brazil|England|France|Netherlands|Portugal|Spain,142,0.00028400,5
QF,Argentina|Belgium|Brazil|England|Germany|Netherlands|Spain|Switzerland,134,0.00026800,6
QF,Argentina|Belgium|Brazil|England|Germany|Morocco|Spain|Switzerland,117,0.00023400,7
QF,Argentina|Belgium|Brazil|England|France|Morocco|Portugal|Spain,109,0.00021800,8
QF,Argentina|Belgium|Brazil|England|France|Morocco|Spain|Switzerland,100,0.00020000,9
QF,Argentina|Belgium|Canada|England|France|Germany|Spain|Switzerland,93,0.00018600,10
QF,Argentina|Belgium|Brazil|England|France|Netherlands|Spain|Switzerland,93,0.00018600,11
QF,Belgium|Brazil|Canada|England|Germany|Spain|Switzerland|Uruguay,90,0.00018000,12
QF,Argentina|Belgium|Brazil|England|France|Portugal|Spain|Switzerland,85,0.00017000,13
QF,Argentina|Belgium|Brazil|England|Germany|Portugal|Spain|Switzerland,84,0.00016800,14
QF,Argentina|Belgium|Brazil|Colombia|England|Germany|Netherlands|Portugal,82,0.00016400,15
QF,Argentina|Belgium|Brazil|Canada|Germany|Mexico|Spain|Switzerland,80,0.00016000,16
QF,Argentina|Belgium|Brazil|Germany|Mexico|Netherlands|Portugal|Spain,75,0.00015000,17
QF,Argentina|Belgium|Brazil|Canada|England|Germany|Portugal|Spain,75,0.00015000,18
QF,Argentina|Belgium|Canada|Ecuador|England|Germany|Spain|Switzerland,75,0.00015000,19
QF,Argentina|Belgium|Brazil|Colombia|England|France|Netherlands|Portugal,71,0.00014200,20
QF,Belgium|Brazil|Canada|England|France|Spain|Switzerland|Uruguay,70,0.00014000,21
QF,Belgium|Brazil|England|Germany|Netherlands|Portugal|Spain|Uruguay,70,0.00014000,22
QF,Argentina|Belgium|Brazil|Germany|Mexico|Morocco|Portugal|Spain,65,0.00013000,23
QF,Belgium|Brazil|England|France|Netherlands|Portugal|Spain|Uruguay,63,0.00012600,24
QF,Argentina|Belgium|Brazil|Colombia|England|France|Morocco|Portugal,63,0.00012600,25
QF,Belgium|Brazil|England|Germany|Morocco|Portugal|Spain|Uruguay,63,0.00012600,26
QF,Belgium|Brazil|England|Germany|Morocco|Spain|Switzerland|Uruguay,63,0.00012600,27
QF,Argentina|Belgium|Brazil|France|Mexico|Netherlands|Portugal|Spain,60,0.00012000,28
QF,Argentina|Belgium|England|France|Germany|Netherlands|Portugal|Spain,59,0.00011800,29
QF,Belgium|Brazil|England|Germany|Netherlands|Spain|Switzerland|Uruguay,59,0.00011800,30
QF,Argentina|Belgium|Brazil|Colombia|England|Germany|Netherlands|Spain,58,0.00011600,31
QF,Argentina|Belgium|Brazil|Colombia|England|Germany|Morocco|Portugal,58,0.00011600,32
QF,Argentina|Belgium|Brazil|Canada|France|Mexico|Spain|Switzerland,58,0.00011600,33
QF,Argentina|Belgium|Brazil|Canada|England|France|Portugal|Spain,56,0.00011200,34
QF,Belgium|Brazil|England|France|Morocco|Spain|Switzerland|Uruguay,56,0.00011200,35
QF,Argentina|Brazil|Canada|England|France|Spain|Switzerland|United States,55,0.00011000,36
QF,Argentina|Belgium|Brazil|France|Mexico|Morocco|Portugal|Spain,54,0.00010800,37
QF,Argentina|Belgium|Brazil|England|France|Mexico|Portugal|Spain,54,0.00010800,38
QF,Argentina|Belgium|Brazil|England|Germany|Mexico|Portugal|Spain,54,0.00010800,39
QF,Argentina|Belgium|Brazil|Germany|Mexico|Portugal|Spain|Switzerland,53,0.00010600,40
QF,Argentina|Belgium|Brazil|England|Germany|Mexico|Spain|Switzerland,53,0.00010600,41
QF,Argentina|Belgium|Brazil|England|France|Germany|Portugal|Spain,53,0.00010600,42
QF,Argentina|Belgium|England|France|Germany|Portugal|Spain|Switzerland,53,0.00010600,43
QF,Argentina|Bosnia and Herzegovina|Brazil|Canada|England|Germany|Spain|Switzerland,53,0.00010600,44
QF,Argentina|Brazil|Canada|England|Germany|Spain|Switzerland|Turkey,52,0.00010400,45
QF,Argentina|Belgium|Brazil|Germany|Mexico|Netherlands|Spain|Switzerland,52,0.00010400,46
QF,Argentina|Belgium|England|France|Germany|Netherlands|Spain|Switzerland,52,0.00010400,47
QF,Argentina|Belgium|Brazil|England|France|Germany|Spain|Switzerland,51,0.00010200,48
QF,Belgium|Brazil|England|France|Netherlands|Spain|Switzerland|Uruguay,51,0.00010200,49
QF,Argentina|Belgium|Brazil|England|Germany|Japan|Spain|Switzerland,51,0.00010200,50
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland,13,0.00002600,1
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|Egypt|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland,13,0.00002600,2
R16,Argentina|Belgium|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|United States,13,0.00002600,3
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|Egypt|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland,13,0.00002600,4
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|Turkey|United States,12,0.00002400,5
R16,Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|Turkey|United States|Uruguay,11,0.00002200,6
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Iran|Mexico|Morocco|Portugal|Spain|Switzerland|Uruguay,11,0.00002200,7
R16,Argentina|Belgium|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|Turkey,10,0.00002000,8
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|Turkey|United States,9,0.00001800,9
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Morocco|Portugal|Senegal|Spain|Switzerland,9,0.00001800,10
R16,Argentina|Belgium|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland|Turkey|United States,9,0.00001800,11
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Morocco|Paraguay|Portugal|Spain|Switzerland,9,0.00001800,12
R16,Argentina|Belgium|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland|Turkey|United States,9,0.00001800,13
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Morocco|Norway|Paraguay|Portugal|Spain|Switzerland|United States,8,0.00001600,14
R16,Argentina|Belgium|Brazil|Colombia|England|France|Germany|Mexico|Morocco|Norway|Portugal|South Korea|Spain|Switzerland|Turkey|United States,8,0.00001600,15
R16,Belgium|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland|Turkey|United States|Uruguay,8,0.00001600,16
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Croatia|Egypt|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland,8,0.00001600,17
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Croatia|Ecuador|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland|Turkey,7,0.00001400,18
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Morocco|Norway|Portugal|Senegal|Spain|Switzerland|Uruguay,7,0.00001400,19
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Ivory Coast|Mexico|Morocco|Portugal|Spain|Switzerland,7,0.00001400,20
R16,Argentina|Belgium|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Netherlands|Norway|Paraguay|Portugal|Spain|Switzerland,7,0.00001400,21
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland,7,0.00001400,22
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Japan|Mexico|Norway|Portugal|Spain|Switzerland|Turkey|United States,7,0.00001400,23
R16,Argentina|Belgium|Brazil|Colombia|Czechia|Ecuador|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland|Turkey|United States,7,0.00001400,24
R16,Argentina|Belgium|Brazil|Canada|Colombia|Ecuador|Egypt|England|Germany|Iran|Mexico|Netherlands|Portugal|Spain|Switzerland|United States,7,0.00001400,25
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|United States|Uruguay,7,0.00001400,26
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Ivory Coast|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|Turkey|United States,7,0.00001400,27
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|Uruguay,7,0.00001400,28
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|United States|Uruguay,7,0.00001400,29
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland|United States,7,0.00001400,30
R16,Belgium|Brazil|Canada|Colombia|Ecuador|Egypt|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland|United States|Uruguay,7,0.00001400,31
R16,Argentina|Belgium|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|United States,7,0.00001400,32
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland|United States,6,0.00001200,33
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Morocco|Norway|Paraguay|Portugal|Spain|Switzerland|Turkey,6,0.00001200,34
R16,Argentina|Belgium|Brazil|Canada|Croatia|England|France|Germany|Ivory Coast|Mexico|Netherlands|Portugal|Spain|Switzerland|Turkey|United States,6,0.00001200,35
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Egypt|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Spain|Switzerland|Uruguay,6,0.00001200,36
R16,Argentina|Belgium|Brazil|Canada|Croatia|Ecuador|Egypt|England|France|Germany|Mexico|Netherlands|Portugal|Spain|Switzerland|United States,6,0.00001200,37
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Croatia|Egypt|England|France|Germany|Ivory Coast|Mexico|Netherlands|Portugal|Spain|Switzerland,6,0.00001200,38
R16,Argentina|Belgium|Brazil|Colombia|Czechia|Ecuador|England|France|Germany|Mexico|Morocco|Portugal|Scotland|Spain|Turkey|United States,6,0.00001200,39
R16,Argentina|Belgium|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Japan|Mexico|Portugal|Spain|Switzerland|Turkey|United States,6,0.00001200,40
R16,Belgium|Brazil|Canada|Colombia|Croatia|England|France|Germany|Mexico|Netherlands|Norway|Spain|Switzerland|Turkey|United States|Uruguay,6,0.00001200,41
R16,Argentina|Belgium|Brazil|Canada|Colombia|England|France|Germany|Iran|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|United States,6,0.00001200,42
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Colombia|Ecuador|England|France|Germany|Mexico|Morocco|Portugal|Spain|Switzerland|Turkey|United States,6,0.00001200,43
R16,Argentina|Belgium|Brazil|Colombia|Czechia|Ecuador|England|France|Germany|Mexico|Morocco|Paraguay|Portugal|Spain|Switzerland|Turkey,6,0.00001200,44
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Croatia|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|Turkey,6,0.00001200,45
R16,Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Ecuador|England|France|Germany|Iran|Morocco|Portugal|Senegal|Spain|Switzerland|Uruguay,6,0.00001200,46
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Croatia|Ecuador|Egypt|England|France|Germany|Mexico|Portugal|Scotland|Spain|Switzerland,6,0.00001200,47
R16,Argentina|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|England|France|Germany|Iran|Netherlands|Norway|Portugal|Senegal|Spain|Switzerland,6,0.00001200,48
R16,Belgium|Brazil|Canada|Colombia|England|France|Germany|Mexico|Morocco|Norway|Portugal|Spain|Switzerland|Turkey|United States|Uruguay,6,0.00001200,49
R16,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|England|France|Germany|Mexico|Netherlands|Norway|Portugal|Switzerland|United States,6,0.00001200,50
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,22,0.00004400,1
R32,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,21,0.00004200,2
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,20,0.00004000,3
R32,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,19,0.00003800,4
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,18,0.00003600,5
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,17,0.00003400,6
R32,Algeria|Argentina|Austria|Belgium|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|United States|Uruguay,16,0.00003200,7
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Senegal|South Korea|Spain|Switzerland|Turkey|United States|Uruguay,15,0.00003000,8
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Portugal|Scotland|Senegal|South Korea|Spain|Switzerland|Turkey|United States|Uruguay,15,0.00003000,9
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Portugal|Scotland|Senegal|South Korea|Spain|Switzerland|Tunisia|Turkey|United States|Uruguay,15,0.00003000,10
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,15,0.00003000,11
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,14,0.00002800,12
R32,Algeria|Argentina|Austria|Belgium|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,14,0.00002800,13
R32,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Switzerland|Turkey|United States|Uruguay,14,0.00002800,14
R32,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|South Korea|Spain|Switzerland|Tunisia|Turkey|United States|Uruguay,14,0.00002800,15
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Africa|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,14,0.00002800,16
R32,Algeria|Argentina|Austria|Belgium|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|Senegal|South Korea|Spain|Switzerland|Turkey|United States|Uruguay,13,0.00002600,17
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Scotland|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,13,0.00002600,18
R32,Algeria|Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|Ecuador|Egypt|England|France|Germany|Ghana|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Paraguay|Portugal|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,13,0.00002600,19
R32,Argentina|Austria|Belgium|Bosnia and Herzegovina|Brazil|Canada|Colombia|Croatia|Czechia|DR Congo|Ecuador|Egypt|England|France|Germany|Iran|Ivory Coast|Japan|Mexico|Morocco|Netherlands|Norway|Portugal|Scotland|Senegal|South Korea|Spain|Sweden|Switzerland|Turkey|United States|Uruguay,12,0.00002400,20
